,LinkID,StartPoint,EndPoint,CenterPoint,latitude,longitude,num_speed_below_max,EP_RESIDENTIAL,EP_BUSINESS 1,EP_RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,EP_COMMERCIAL,EP_BUSINESS PARK,EP_COMMERCIAL & RESIDENTIAL,EP_HOTEL,EP_WHITE,max_EP,max_EP_lu,group
0,103088240,"(1.2828824190649395, 103.84730729494726)","(1.2836274865263102, 103.84608203291532)","(1.283254952795625, 103.84669466393129)",1.283254952795625,103.84669466393129,0,343.88733170253994,0.0,0.0,2121.921465747726,0.0,774.3980444169766,558.4663996801041,0.0,2121.921465747726,COMMERCIAL,0
1,103088246,"(1.279802707234554, 103.83963460011053)","(1.2791110573428932, 103.83988315191685)","(1.2794568822887236, 103.83975887601369)",1.2794568822887236,103.83975887601369,0,927.6467421010888,0.0,386.4685566033758,0.0,0.0,0.0,208.67647295034325,0.0,927.6467421010888,RESIDENTIAL,1
2,103088247,"(1.2791110573428932, 103.83988315191685)","(1.279802707234554, 103.83963460011053)","(1.2794568822887236, 103.83975887601369)",1.2794568822887236,103.83975887601369,0,927.6467421010888,0.0,386.4685566033758,0.0,0.0,0.0,208.67647295034325,0.0,927.6467421010888,RESIDENTIAL,1
3,103088262,"(1.2896498868582307, 103.84191342396795)","(1.2900706870626453, 103.84213665902921)","(1.289860286960438, 103.84202504149857)",1.289860286960438,103.84202504149857,0,334.70452898528225,0.0,74.13560778621894,201.524084973004,0.0,877.403863698382,573.3420585127774,0.0,877.403863698382,COMMERCIAL & RESIDENTIAL,2
4,103088263,"(1.2900706870626453, 103.84213665902921)","(1.2896498868582307, 103.84191342396795)","(1.289860286960438, 103.84202504149857)",1.289860286960438,103.84202504149857,0,334.70452898528225,0.0,74.13560778621894,201.524084973004,0.0,877.403863698382,573.3420585127774,0.0,877.403863698382,COMMERCIAL & RESIDENTIAL,2
5,103088264,"(1.2773483950016167, 103.82648324609787)","(1.2765145094038532, 103.8273606964277)","(1.276931452202735, 103.82692197126278)",1.276931452202735,103.82692197126278,0,6820.409202112204,0.0,205.54355685283238,0.0,0.0,0.0,0.0,0.0,6820.409202112204,RESIDENTIAL,1
6,103088268,"(1.2765145094038532, 103.8273606964277)","(1.2770435600453287, 103.8262415494472)","(1.276779034724591, 103.82680112293745)",1.276779034724591,103.82680112293745,2,7940.205932531538,0.0,136.00243989033578,0.0,0.0,0.0,0.0,0.0,7940.205932531538,RESIDENTIAL,1
7,103088384,"(1.2822295241794344, 103.84848353253605)","(1.2824854530977519, 103.84802393142762)","(1.2823574886385931, 103.84825373198183)",1.2823574886385931,103.84825373198183,0,343.88733170253994,0.0,240.7982904078937,7434.839374692434,0.0,0.0,247.53731342455916,0.0,7434.839374692434,COMMERCIAL,0
8,103088388,"(1.2878421553884736, 103.8408175486627)","(1.2879163854145972, 103.84089945985437)","(1.2878792704015354, 103.84085850425853)",1.2878792704015354,103.84085850425853,0,1745.1385076947054,0.0,77.95633029419906,368.8799938165539,0.0,447.1069097409062,58.950794670198285,0.0,1745.1385076947054,RESIDENTIAL,1
9,103088392,"(1.2850379627388469, 103.85042621889342)","(1.2850870802940526, 103.8502021234107)","(1.2850625215164497, 103.85031417115206)",1.2850625215164497,103.85031417115206,0,0.0,0.0,0.0,23763.935710811733,0.0,0.0,0.0,0.0,23763.935710811733,COMMERCIAL,0
10,103088401,"(1.2833826055511648, 103.83643297900305)","(1.2843396396844822, 103.83716323220018)","(1.2838611226178234, 103.83679810560162)",1.2838611226178234,103.83679810560162,0,2115.467105567828,0.0,93.75555814085278,0.0,0.0,0.0,22.436692021570178,0.0,2115.467105567828,RESIDENTIAL,1
11,103088742,"(1.2935863077995113, 103.84399759806789)","(1.2937243950608244, 103.84404594923164)","(1.2936553514301679, 103.84402177364976)",1.2936553514301679,103.84402177364976,0,428.2759209245146,0.0,472.5401129228012,33.8085907435307,0.0,1464.3931002345894,242.53878411680438,0.0,1464.3931002345894,COMMERCIAL & RESIDENTIAL,2
12,103088743,"(1.2937243950608244, 103.84404594923164)","(1.2935863077995113, 103.84399759806789)","(1.2936553514301679, 103.84402177364976)",1.2936553514301679,103.84402177364976,0,428.2759209245146,0.0,472.5401129228012,33.8085907435307,0.0,1464.3931002345894,242.53878411680438,0.0,1464.3931002345894,COMMERCIAL & RESIDENTIAL,2
13,103089008,"(1.2749925759126408, 103.84744443180121)","(1.2756211957046317, 103.84655410241187)","(1.2753068858086363, 103.84699926710654)",1.2753068858086363,103.84699926710654,0,0.0,0.0,0.0,7311.647074912942,0.0,0.0,0.0,0.0,7311.647074912942,COMMERCIAL,0
14,103089012,"(1.2756211957046317, 103.84655410241187)","(1.2757984965809923, 103.84652940254807)","(1.275709846142812, 103.84654175247996)",1.275709846142812,103.84654175247996,1,0.0,0.0,558.7291527910508,7311.647074912942,0.0,0.0,429.12112406851054,0.0,7311.647074912942,COMMERCIAL,0
15,103114580,"(1.290966177482635, 103.8524371140392)","(1.2923616969349705, 103.85319995090516)","(1.2916639372088028, 103.85281853247218)",1.2916639372088028,103.85281853247218,0,0.0,0.0,0.0,1052.8444285276225,0.0,0.0,19566.599438350575,0.0,19566.599438350575,HOTEL,3
16,103115044,"(1.277001292049205, 103.84261582206113)","(1.275662246929905, 103.84179198510326)","(1.276331769489555, 103.8422039035822)",1.276331769489555,103.8422039035822,0,3221.2012545005296,0.0,50.430799475618194,196.0111910617647,0.0,1087.351363068012,848.3518499862956,0.0,3221.2012545005296,RESIDENTIAL,1
